is_label_issue,label_quality,given_label,predicted_label
False,0.9976077079772949,1,1
False,0.9604244232177734,1,1
False,0.3068336248397827,2,1
False,0.9818452596664429,2,2
False,0.975547730922699,1,1
False,0.9876071810722351,1,1
False,0.9308086633682251,1,1
False,0.9801735877990723,1,1
False,0.9333333373069763,2,2
False,0.9951221346855164,1,1
False,0.9427087306976318,0,0
False,0.9544487595558167,2,2
True,0.16229908168315887,2,1
False,0.9957055449485779,1,1
False,0.9620287418365479,2,2
False,0.9831127524375916,1,1
False,0.9565216898918152,1,1
False,0.8242106437683105,1,1
False,0.6250394582748413,1,1
False,0.8298737406730652,0,0
False,0.21655619144439697,2,1
False,0.44061723351478577,0,1
False,0.868277370929718,1,1
False,0.996415376663208,1,1
False,0.9356385469436646,0,0
False,0.9979978203773499,1,1
False,0.9393497109413147,1,1
False,0.9793552756309509,2,2
False,0.983111560344696,1,1
False,0.8691673874855042,0,0
False,0.9638702273368835,1,1
False,0.9703544974327087,2,2
False,0.5267673134803772,1,1
False,0.9986889958381653,1,1
False,0.9539383053779602,2,2
False,0.6487720608711243,0,0
False,0.9914013743400574,1,1
False,0.9718526005744934,0,0
False,0.9969648718833923,1,1
False,0.9983685612678528,1,1
False,0.7458767890930176,1,1
False,0.7599529027938843,1,1
False,0.9981850981712341,1,1
False,0.9889814853668213,1,1
False,0.9258110523223877,2,2
False,0.9979783892631531,1,1
False,0.9833930134773254,2,2
False,0.6698423624038696,0,0
True,0.0911288857460022,1,2
False,0.9972358345985413,1,1
False,0.9716823697090149,0,0
False,0.9071657657623291,1,1
False,0.9618340730667114,0,0
False,0.9983104467391968,1,1
False,0.98492830991745,1,1
False,0.9858771562576294,1,1
False,0.9939349293708801,1,1
False,0.9725210666656494,1,1
False,0.5996823310852051,1,1
False,0.9947224855422974,1,1
False,0.9714511632919312,2,2
False,0.03314269334077835,0,2
False,0.9981861710548401,1,1
False,0.9934340715408325,1,1
True,0.04097021743655205,1,2
False,0.9961148500442505,1,1
False,0.6566162109375,1,1
False,0.9970183372497559,1,1
False,0.9492228627204895,0,0
False,0.9814375638961792,1,1
False,0.695009171962738,2,2
False,0.2562991678714752,0,1
False,0.9565865993499756,0,0
False,0.9983598589897156,1,1
False,0.9941965341567993,1,1
False,0.4541153311729431,1,2
False,0.9765470027923584,1,1
False,0.9959555864334106,1,1
False,0.8227356672286987,1,1
False,0.9891498684883118,1,1
False,0.9794448018074036,1,1
False,0.9979121088981628,1,1
False,0.9710204601287842,1,1
False,0.9971641898155212,1,1
False,0.9487254619598389,2,2
False,0.9740716814994812,1,1
False,0.947667121887207,1,1
False,0.9953513145446777,1,1
False,0.9488930106163025,1,1
False,0.9974210262298584,1,1
False,0.9762856960296631,1,1
False,0.9509405493736267,2,2
False,0.9192750453948975,0,0
False,0.9956306219100952,1,1
False,0.8367959856987,1,1
False,0.9127021431922913,1,1
False,0.3255423605442047,0,1
False,0.9573362469673157,1,1
False,0.9057972431182861,1,1
False,0.9429227113723755,1,1
False,0.6782079935073853,1,1
False,0.99850994348526,1,1
False,0.9941219687461853,1,1
False,0.9956954717636108,1,1
True,0.05173928290605545,0,1
False,0.9963386058807373,1,1
False,0.9975704550743103,1,1
False,0.9962242841720581,1,1
True,0.003561741439625621,2,1
False,0.9728811979293823,2,2
False,0.9981282353401184,1,1
False,0.9716853499412537,2,2
False,0.9799254536628723,0,0
False,0.8561378121376038,1,1
False,0.6662055253982544,1,1
False,0.9479492902755737,0,0
False,0.9551540613174438,2,2
False,0.9692487120628357,2,2
False,0.9192555546760559,1,1
False,0.9978803396224976,1,1
False,0.9963386058807373,1,1
False,0.9967467784881592,1,1
False,0.9373166561126709,2,2
False,0.8035211563110352,0,0
False,0.23726747930049896,2,1
False,0.9518409967422485,2,2
False,0.9549245238304138,0,0
False,0.9412397146224976,1,1
False,0.9987402558326721,1,1
False,0.9397069811820984,1,1
False,0.99753737449646,1,1
False,0.34927040338516235,1,2
False,0.9925119876861572,1,1
False,0.9724781513214111,1,1
False,0.9944296479225159,1,1
False,0.9478141069412231,1,1
False,0.9494718909263611,1,1
False,0.9981169700622559,1,1
False,0.9958531856536865,1,1
False,0.9958614706993103,1,1
False,0.9101874828338623,0,0
False,0.9262920022010803,2,2
True,0.17561864852905273,0,1
False,0.9659078121185303,1,1
False,0.9962154030799866,1,1
False,0.9989114999771118,1,1
False,0.987201452255249,1,1
True,0.013059345073997974,0,1
False,0.5618231892585754,1,1
False,0.9855011105537415,1,1
False,0.997621476650238,1,1
False,0.9983993172645569,1,1
False,0.970845639705658,2,2
False,0.6273147463798523,1,1
False,0.29876968264579773,2,1
False,0.9063907265663147,0,0
False,0.9969582557678223,1,1
False,0.9291312098503113,1,1
False,0.7220186591148376,2,2
False,0.7582948803901672,0,0
False,0.992253839969635,1,1
False,0.753053605556488,1,1
False,0.9440908432006836,1,1
False,0.9718377590179443,1,1
True,0.09624062478542328,1,2
False,0.8343926072120667,1,1
True,0.004610590636730194,0,2
True,0.09505857527256012,0,1
False,0.6733908653259277,1,1
False,0.8723159432411194,1,1
